Datetime,Open,High,Low,Close,Adj Close,Volume,Year,Month,Day,Hour,Minute,Second
2025-09-29 11:21:00+08:00,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,4400,2025,9,29,11,21,0
2025-09-29 11:22:00+08:00,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,2900,2025,9,29,11,22,0
2025-09-29 11:23:00+08:00,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,3500,2025,9,29,11,23,0
2025-09-29 11:24:00+08:00,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,3.5899999141693115,4500,2025,9,29,11,24,0
2025-09-29 11:25:00+08:00,3.5899999141693115,3.5999999046325684,3.5899999141693115,3.5899999141693115,3.5899999141693115,8700,2025,9,29,11,25,0
2025-09-29 11:26:00+08:00,3.5999999046325684,3.5999999046325684,3.5899999141693115,3.5999999046325684,3.5999999046325684,25700,2025,9,29,11,26,0
2025-09-29 11:27:00+08:00,3.5999999046325684,3.5999999046325684,3.5799999237060547,3.5799999237060547,3.5799999237060547,9500,2025,9,29,11,27,0
2025-09-29 11:28:00+08:00,3.5799999237060547,3.5899999141693115,3.5799999237060547,3.5799999237060547,3.5799999237060547,16200,2025,9,29,11,28,0
2025-09-29 11:30:00+08:00,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3100,2025,9,29,11,30,0
2025-09-29 11:31:00+08:00,3.5799999237060547,3.5899999141693115,3.5799999237060547,3.5799999237060547,3.5799999237060547,1600,2025,9,29,11,31,0
2025-09-29 11:32:00+08:00,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,4500,2025,9,29,11,32,0
2025-09-29 11:33:00+08:00,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3000,2025,9,29,11,33,0
2025-09-29 11:34:00+08:00,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,3.5799999237060547,1600,2025,9,29,11,34,0
2025-09-29 11:35:00+08:00,3.5799999237060547,3.5899999141693115,3.569999933242798,3.569999933242798,3.569999933242798,12300,2025,9,29,11,35,0
2025-09-29 11:38:00+08:00,3.569999933242798,3.569999933242798,3.569999933242798,3.569999933242798,3.569999933242798,800,2025,9,29,11,38,0
2025-09-29 11:39:00+08:00,3.569999933242798,3.569999933242798,3.549999952316284,3.549999952316284,3.549999952316284,15500,2025,9,29,11,39,0
2025-09-29 11:40:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,4100,2025,9,29,11,40,0
2025-09-29 11:41:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,1100,2025,9,29,11,41,0
2025-09-29 11:43:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,500,2025,9,29,11,43,0
2025-09-29 11:44:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,1000,2025,9,29,11,44,0
2025-09-29 11:45:00+08:00,3.549999952316284,3.549999952316284,3.5299999713897705,3.5299999713897705,3.5299999713897705,21100,2025,9,29,11,45,0
2025-09-29 11:46:00+08:00,3.5299999713897705,3.5299999713897705,3.5299999713897705,3.5299999713897705,3.5299999713897705,700,2025,9,29,11,46,0
2025-09-29 11:47:00+08:00,3.5299999713897705,3.5299999713897705,3.5299999713897705,3.5299999713897705,3.5299999713897705,600,2025,9,29,11,47,0
2025-09-29 11:48:00+08:00,3.5299999713897705,3.5299999713897705,3.5299999713897705,3.5299999713897705,3.5299999713897705,1200,2025,9,29,11,48,0
2025-09-29 11:49:00+08:00,3.5299999713897705,3.549999952316284,3.5299999713897705,3.549999952316284,3.549999952316284,26700,2025,9,29,11,49,0
2025-09-29 11:50:00+08:00,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,3.549999952316284,2300,2025,9,29,11,50,0
